_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,geometry
1,30,LR-07817,532,Annette St,Annette St,North,Runnymede Rd,West,00954,04,None,WR1,Existing,L1300954,,"{""coordinates"": [[-79.4802204012433, 43.6600819546298]], ""type"": ""MultiPoint""}"
2,31,LR-07819,660,Annette St,Annette St,North,Windermere Ave,East,00948,04,None,WR1,Existing,L1300948,,"{""coordinates"": [[-79.4837111829841, 43.6593173638755]], ""type"": ""MultiPoint""}"
3,32,LR-07822,1873,Bloor St W,Bloor St W,South,Colborne Lodge Dr,East,00977,04,None,WR2,Existing,L1300977,,"{""coordinates"": [[-79.4646436092827, 43.6535997907699]], ""type"": ""MultiPoint""}"
4,33,LR-07828,2142,Bloor St W,Bloor St W,South,Harcroft Rd,East,00979,04,None,WR1,Existing,L1300979,,"{""coordinates"": [[-79.4726785290463, 43.6518465757608]], ""type"": ""MultiPoint""}"
5,34,LR-07829,1908,Bloor St W,Bloor St W,North,High Park Ave,West,00972,04,None,WR2,Existing,L1300972,,"{""coordinates"": [[-79.4655110038902, 43.6535801177511]], ""type"": ""MultiPoint""}"
6,35,LR-07831,2425,Bloor St W,Bloor St W,South,Jane St,East,03234,04,Bloor West Village,WR4,Existing,L1303234,,"{""coordinates"": [[-79.4842161108743, 43.6492690959785]], ""type"": ""MultiPoint""}"
7,36,LR-07838,6,Oakmount Rd,Bloor St W,North,Oakmount Rd,West,00975,04,None,WR1,Existing,L1300975,,"{""coordinates"": [[-79.4625532221433, 43.6542286079248]], ""type"": ""MultiPoint""}"
8,37,LR-07843,2226,Bloor St W,Bloor St W,North,Runnymede Rd,West,03261,04,Bloor West Village,WR4,Existing,L1303261,,"{""coordinates"": [[-79.4766162053371, 43.6511376378456]], ""type"": ""MultiPoint""}"
9,38,LR-07846,3100,Dundas St W,Dundas St W,North,Clendenan Ave,East,04919,04,None,WR2,Existing,L1304919,,"{""coordinates"": [[-79.4729604342183, 43.6655761289977]], ""type"": ""MultiPoint""}"
10,39,LR-07849,3,Humber Hill Ave,Dundas St W,South,Humber Hill Ave,West,04914,04,None,WR2,Existing,L1304914,,"{""coordinates"": [[-79.5016706829368, 43.664685328874]], ""type"": ""MultiPoint""}"
11,40,LR-07851,3534,Dundas St W,Dundas St W,North,Jane St,East,T3505,04,None,WR2,Existing,L1303505,,"{""coordinates"": [[-79.4908602385489, 43.6658011595945]], ""type"": ""MultiPoint""}"
12,41,LR-07854,2947,Dundas St W,Dundas St W,South,Medland St,West,04928,04,The Junction,WR4,Existing,L1304928,,"{""coordinates"": [[-79.4674708355364, 43.6653721325788]], ""type"": ""MultiPoint""}"
13,42,LR-07855,2938,Dundas St W,Dundas St W,North,Medland St,West,04972,04,The Junction,WR4,Existing,L1304972,,"{""coordinates"": [[-79.4674954526488, 43.6655029020103]], ""type"": ""MultiPoint""}"
14,43,LR-07857,2925,Dundas St W,Dundas St W,South,Medland St,East,04974,04,The Junction,WR4,Existing,L1304974,,"{""coordinates"": [[-79.4669529297674, 43.6653681764632]], ""type"": ""MultiPoint""}"
15,44,LR-07863,3350,Dundas St W,Dundas St W,North,Runnymede Rd,East,04917,04,None,WR2,Existing,L1304917,,"{""coordinates"": [[-79.4816635724112, 43.6656459964572]], ""type"": ""MultiPoint""}"
16,45,LR-07865,3735,Dundas St W,Dundas St W,South,Gooch Ave,West,04915,04,None,WR2,Existing,L1304915,,"{""coordinates"": [[-79.4993878301099, 43.6653646074251]], ""type"": ""MultiPoint""}"
17,46,LR-07867,3486,Dundas St W,Dundas St W,North,Willard Ave,West,04916,04,None,WR2,Existing,L1304916,,"{""coordinates"": [[-79.4886732664955, 43.6657123636573]], ""type"": ""MultiPoint""}"
18,47,LR-07868,3434,Dundas St W,Dundas St W,North,Windermere Ave,East,2433,04,None,WR1,Existing,L1302433,,"{""coordinates"": [[-79.4855642908455, 43.6657026789391]], ""type"": ""MultiPoint""}"
19,172,LR-10607,708,Danforth Rd,Danforth Rd,North,Hart Ave,East,06446,20,None,WR2,Existing,L3506446,,"{""coordinates"": [[-79.2587135335688, 43.7190133578744]], ""type"": ""MultiPoint""}"
20,173,LR-10609,2501,Eglinton Ave E,Eglinton Ave E,South,Midland Ave,West,06451,20,None,WR1,Existing,L3506451,,"{""coordinates"": [[-79.2585581011618, 43.7342732768914]], ""type"": ""MultiPoint""}"
21,174,LR-10654,2466,Eglinton Ave E,Eglinton Ave E,North,Midland Ave,West,06450,21,None,WR1,Temporarily Removed,L3506450,,"{""coordinates"": [[-79.2603564110083, 43.734191297715]], ""type"": ""MultiPoint""}"
22,175,LR-10685,None,None,Ellesmere Rd,North,Borough Approach W,East,T7710,21,None,WR2,Existing,L3807710,,"{""coordinates"": [[-79.2574308161696, 43.7711163224101]], ""type"": ""MultiPoint""}"
23,177,LR-06879,2683,Lawrence Ave E,Lawrence Ave E,South,Brockley Dr,East,06893,21,None,WR2,Existing,L3706893,,"{""coordinates"": [[-79.2615442579709, 43.7521101795831]], ""type"": ""MultiPoint""}"
24,178,LR-06880,3255,Lawrence Ave E,Lawrence Ave E,South,Burnview Cres,East,06894,21,None,WR1,Existing,L3806894,,"{""coordinates"": [[-79.2398425143827, 43.7566016140949]], ""type"": ""MultiPoint""}"
25,291,LR-06846,363,Parliament St,Parliament St,East,Oak St,South,06797,13,None,WR1,Existing,L2806797,,"{""coordinates"": [[-79.3663592086663, 43.6605825882742]], ""type"": ""MultiPoint""}"
26,492,LR-05990,3636,Weston Rd,Weston Rd,West,Fenmar Dr,North,06227,07,Emery Village,WR2,Existing,L0706227,,"{""coordinates"": [[-79.5442591207828, 43.7593314344481]], ""type"": ""MultiPoint""}"
27,493,LR-06429,3701,Chesswood Dr,Chesswood Dr,East,Sheppard Ave W,North,06192,06,DuKe Heights,WR2,Existing,L0806192,,"{""coordinates"": [[-79.474193586205, 43.7560882002193]], ""type"": ""MultiPoint""}"
28,494,LR-06428,51,John Drury Dr,Sheppard Ave W,West,John Drury Dr,North,06191,06,None,WR2,Existing,L0806191,,"{""coordinates"": [[-79.4829551917353, 43.7485646232909]], ""type"": ""MultiPoint""}"
29,495,LR-06516,2195,Jane St,Jane St,East,Wilson Ave,North,06682,06,None,WR1,Existing,L0906682,,"{""coordinates"": [[-79.5084666650645, 43.7212495999895]], ""type"": ""MultiPoint""}"
30,496,LR-06526,2195,Jane St,Wilson Ave,North,Jane St,East,06724,06,None,WR1,Existing,L0906724,,"{""coordinates"": [[-79.5082047695788, 43.7211018635799]], ""type"": ""MultiPoint""}"
31,497,LR-06433,1,Inlet Mews,Sheppard Ave W,North,Sentinel Rd,East,06234,06,None,WR2,Existing,L0906234,,"{""coordinates"": [[-79.4915454748649, 43.7438264895398]], ""type"": ""MultiPoint""}"
32,498,LR-06432,1505,Wilson Ave,Wilson Ave,South,Epic Lane Rd,East,06233,06,None,WR1,Existing,L0906233,,"{""coordinates"": [[-79.5058665760316, 43.7212274759172]], ""type"": ""MultiPoint""}"
33,499,LR-06440,3100,Keele St,Keele St,West,Maryport Ave,South,06241,06,None,WR2,Temporarily Removed,L0906241,,"{""coordinates"": [[-79.4852127357301, 43.7394480137751]], ""type"": ""MultiPoint""}"
34,500,LR-06427,315,Grandravine Dr,Grandravine Dr,South,Jane St,East,06190,07,None,WR1,Existing,L0806190,,"{""coordinates"": [[-79.5125953412239, 43.7475803061597]], ""type"": ""MultiPoint""}"
35,501,LR-06441,3899,Bathurst St,Bathurst St,East,Lyonsgate Dr,South,06242,06,None,WR1,Existing,L1006242,,"{""coordinates"": [[-79.4351344030268, 43.7425370109471]], ""type"": ""MultiPoint""}"
36,502,LR-06448,6250,Bathurst St,Bathurst St,West,Steeles Ave W,South,06249,06,None,WR2,Existing,L1006249,,"{""coordinates"": [[-79.4456889390444, 43.7915415618387]], ""type"": ""MultiPoint""}"
37,526,LR-06539,10,Edengarth Crt,Flemington Rd,East,Stockton Rd,North,06737,08,None,WR1,Existing,L1506737,,"{""coordinates"": [[-79.4491619588999, 43.7210569178813]], ""type"": ""MultiPoint""}"
38,527,LR-06738,464,Sherbourne St,Wellesley St E,West,Sherbourne St,South,06491,13,None,WR2,Existing,L2706491,,"{""coordinates"": [[-79.3750640230573, 43.6667364955566]], ""type"": ""MultiPoint""}"
39,528,LR-06758,26,Dundas St E,Dundas St E,North,Victoria St,West,06575,13,Downtown Yonge,WR4,Existing,L2706575,,"{""coordinates"": [[-79.3799489031652, 43.6564527813568]], ""type"": ""MultiPoint""}"
40,530,LR-11062,134,Atlantic Ave,King St W,South,Atlantic Ave,West,T4155,10,None,WR1,Existing,L1404155,,"{""coordinates"": [[-79.4215330423114, 43.6400154920945]], ""type"": ""MultiPoint""}"
41,531,LR-06105,37,Weatherell St,Jane St,West,Weatherell St,South,06501,04,None,WR1,Existing,L1306501,,"{""coordinates"": [[-79.4854446027618, 43.6514084055233]], ""type"": ""MultiPoint""}"
42,532,LR-09962,38,Orfus Rd,Orfus Rd,North,Dufferin St,West,06984,08,None,WR1,Existing,L1506984,,"{""coordinates"": [[-79.4593451183347, 43.7197497992209]], ""type"": ""MultiPoint""}"
43,533,LR-06459,1,Khedive Ave,Bathurst St,West,Khedive Ave,South,06289,08,None,WR2,Existing,L1506289,,"{""coordinates"": [[-79.4313607006843, 43.725665451411]], ""type"": ""MultiPoint""}"
44,534,LR-06728,431,Danforth Rd,Danforth Rd,South,Birchmount Rd,West,06393,20,None,WR1,Existing,L3506393,,"{""coordinates"": [[-79.2685597995687, 43.7060342344841]], ""type"": ""MultiPoint""}"
45,535,LR-06731,730,Birchmount Rd,Birchmount Rd,West,Comstock Rd,North,06396,20,None,WR1,Existing,L3506396,,"{""coordinates"": [[-79.2755523275228, 43.7239305418799]], ""type"": ""MultiPoint""}"
46,536,LR-06824,355,Coxwell Ave,Gerrard St E,North,Coxwell Ave,East,06773,19,None,WR1,Existing,L3206773,,"{""coordinates"": [[-79.3199433411189, 43.6756395265097]], ""type"": ""MultiPoint""}"
47,574,LR-06532,89,Dorney Crt,Varna Dr,West,Dorney Crt,North,06730,08,None,WR1,Existing,L1506730,,"{""coordinates"": [[-79.4410992376781, 43.7213008248967]], ""type"": ""MultiPoint""}"
48,575,LR-06538,227X,Ranee Ave,Varna Dr,West,Ranee Ave,South,06736,08,None,WR1,Temporarily Removed,L1506736,,"{""coordinates"": [[-79.4455787912555, 43.7235989125507]], ""type"": ""MultiPoint""}"
49,576,LR-06545,97,Baycrest Ave,Ameer Ave,East,Baycrest Ave,South,06743,08,None,WR1,Existing,L1506743,,"{""coordinates"": [[-79.4404680581265, 43.7277029206745]], ""type"": ""MultiPoint""}"
50,577,LR-06546,104,Baycrest Ave,Neptune Dr,West,Baycrest Ave,North,06744,08,None,WR1,Existing,L1506744,,"{""coordinates"": [[-79.4407790766184, 43.7280316454496]], ""type"": ""MultiPoint""}"
51,578,LR-06549,3426,Bathurst St,Bathurst St,West,Ranee Ave,North,06747,08,None,WR1,Existing,L1506747,,"{""coordinates"": [[-79.4316842657522, 43.7271661520984]], ""type"": ""MultiPoint""}"
52,579,LR-06558,330,Avenue Rd,Avenue Rd,West,Poplar Plains Cres,South,06871,12,None,WR2,Existing,L2206871,,"{""coordinates"": [[-79.3991059725566, 43.6805767715886]], ""type"": ""MultiPoint""}"
53,580,LR-06562,1403,Bathurst St,Bathurst St,East,Melgund Rd,South,06916,12,None,WR2,Existing,L2106916,,"{""coordinates"": [[-79.4173444678936, 43.6809967256137]], ""type"": ""MultiPoint""}"
54,581,LR-06565,134,Hucknall Rd,Sentinel Rd,East,Hucknall Rd,South,1137,07,None,WR1,Existing,L0801137,,"{""coordinates"": [[-79.4990313432447, 43.7568914145501]], ""type"": ""MultiPoint""}"
55,583,LR-06580,5,Bellevue Ave,Augusta Ave,West,Denison Sq,South,05872,11,Kensington Market,WR3,Existing,L2005872,,"{""coordinates"": [[-79.4017813476294, 43.6537547118681]], ""type"": ""MultiPoint""}"
56,584,LR-06581,1,Wales Ave,Augusta Ave,West,Wales Ave,South,05873,11,Kensington Market,WR3,Existing,L2005873,,"{""coordinates"": [[-79.4015821942149, 43.6532561895247]], ""type"": ""MultiPoint""}"
57,585,LR-06582,169,Augusta Ave,Augusta Ave,East,Wales Ave,South,05874,11,Kensington Market,WR3,Existing,L2005874,,"{""coordinates"": [[-79.4013759783948, 43.6530981910211]], ""type"": ""MultiPoint""}"
58,586,LR-06587,71,Oxford St,Augusta Ave,West,Oxford St,South,05879,11,Kensington Market,WR3,Existing,L2005879,,"{""coordinates"": [[-79.4026364691579, 43.6558591587559]], ""type"": ""MultiPoint""}"
59,589,LR-06592,400,Spadina Ave,Nassau St,North,Spadina Ave,West,05885,11,Chinatown,WR3,Existing,L2005885,,"{""coordinates"": [[-79.3995271144409, 43.6558250534599]], ""type"": ""MultiPoint""}"
60,591,LR-06602,256,Kingston Rd,Kingston Rd,North,Woodbine Ave,West,01237,19,None,WR2,Existing,L3201237,,"{""coordinates"": [[-79.3083089238039, 43.6737242462788]], ""type"": ""MultiPoint""}"
61,592,LR-06621,1554,Warden Ave,Warden Ave,West,Sylla Ave,North,01513,21,None,WR2,Existing,L4001513,,"{""coordinates"": [[-79.3016435587251, 43.7640279028972]], ""type"": ""MultiPoint""}"
62,593,LR-06633,181,Bay St,Bay St,East,Wellington St W,South,02104,13,Financial District,WR3,Existing,L2802104,,"{""coordinates"": [[-79.379506263388, 43.6470964480203]], ""type"": ""MultiPoint""}"
63,594,LR-06636,1,Eglinton Sq,Victoria Park Ave,East,Eglinton Ave E,South,02384,20,None,WR2,Existing,L3502384,,"{""coordinates"": [[-79.3016529618696, 43.7227219522162]], ""type"": ""MultiPoint""}"
64,595,LR-06637,151,Brimorton Dr,Mccowan Rd,East,Brimorton Dr,South,02391,24,None,WR2,Existing,L3802391,,"{""coordinates"": [[-79.2487116142415, 43.7651615005315]], ""type"": ""MultiPoint""}"
65,596,LR-06638,122,Brimorton Dr,Mccowan Rd,West,Brimorton Dr,North,02393,21,None,WR2,Temporarily Removed,L38A2393,,"{""coordinates"": [[-79.2491627007548, 43.7656557648154]], ""type"": ""MultiPoint""}"
66,597,LR-06639,1162,Queen St E,Queen St E,North,Jones Ave,East,2429,14,Leslieville,WR1,Existing,L3002429,,"{""coordinates"": [[-79.3324457501326, 43.6628198044902]], ""type"": ""MultiPoint""}"
67,598,LR-06648,8,Milner Ave,Mccowan Rd,East,Milner Ave,North,03356,23,None,WR2,Existing,L4203356,,"{""coordinates"": [[-79.2564733070021, 43.7859159747639]], ""type"": ""MultiPoint""}"
68,599,LR-06649,500,Yonge St,Yonge St,West,Grosvenor St,North,03456,13,None,WR1,Existing,L2703456,,"{""coordinates"": [[-79.3839548275776, 43.6632005641369]], ""type"": ""MultiPoint""}"
69,601,LR-06660,98,Frank Rivers Dr,Steeles Ave E,South,Warden Ave,West,04000,22,None,WR2,Existing,L3904000,,"{""coordinates"": [[-79.3248525790795, 43.8193893089361]], ""type"": ""MultiPoint""}"
70,603,LR-06667,1050,Huntingwood Dr,Huntingwood Dr,East,Kittery Blvd,North,04285,22,None,WR2,Existing,L4104285,,"{""coordinates"": [[-79.2861359018304, 43.7967187961363]], ""type"": ""MultiPoint""}"
71,604,LR-06670,1165,Brimley Rd,Brimley Rd,East,Brimorton Dr,South,04416,21,None,WR2,Existing,L3804416,,"{""coordinates"": [[-79.2593207800654, 43.764938979207]], ""type"": ""MultiPoint""}"
72,605,LR-06673,91,Briarscross Blvd,Brimley Rd,East,Finch Ave E,South,04423,23,None,WR2,Existing,L4104423,,"{""coordinates"": [[-79.2769943417564, 43.8052659355128]], ""type"": ""MultiPoint""}"
73,606,LR-06678,None,None,Steeles Ave E,North,Middlefield Rd,East,04438,23,None,WR2,Existing,L4104438,,"{""coordinates"": [[-79.2674896686158, 43.8329807250485]], ""type"": ""MultiPoint""}"
74,607,LR-06684,2794,Midland Ave,Midland Ave,West,Huntingwood Dr,North,04577,22,None,WR1,Existing,L4104577,,"{""coordinates"": [[-79.2837086604366, 43.7973484838317]], ""type"": ""MultiPoint""}"
75,609,LR-06692,244,Broadview Ave,Broadview Ave,West,Dundas St E,North,05244,14,None,WR1,Existing,L3005244,,"{""coordinates"": [[-79.3515151601397, 43.6626115809809]], ""type"": ""MultiPoint""}"
76,610,LR-06695,978,Kingston Rd,Kingston Rd,North,Scarborough Rd,East,05370,19,None,WR2,Existing,L3205370,,"{""coordinates"": [[-79.2867395679074, 43.6806429781873]], ""type"": ""MultiPoint""}"
77,613,LR-06706,1411,Queen St E,Queen St E,South,Connaught Ave,West,05919,14,None,WR2,Existing,L3205919,,"{""coordinates"": [[-79.3232324846761, 43.6647501908823]], ""type"": ""MultiPoint""}"
78,614,LR-06707,2020,Midland Ave,Midland Ave,West,Ellesmere Rd,North,06058,21,None,WR2,Existing,L3706058,,"{""coordinates"": [[-79.272084769899, 43.7703534983894]], ""type"": ""MultiPoint""}"
79,615,LR-06713,8,Georgina Gt,St Clair Ave E,South,Herron Ave,East,06285,20,None,WR1,Existing,L3506285,,"{""coordinates"": [[-79.2856560964421, 43.7109206225736]], ""type"": ""MultiPoint""}"
80,616,LR-06716,1030,Danforth Ave,Danforth Ave,North,Donlands Ave,East,06334,14,Danforth Mosaic,WR1,Existing,L2906334,,"{""coordinates"": [[-79.3362380763996, 43.6807216369726]], ""type"": ""MultiPoint""}"
81,617,LR-06717,890,Danforth Ave,Danforth Ave,North,Dewhurst Blvd,East,06337,14,Danforth Mosaic,WR2,Existing,L2906337,,"{""coordinates"": [[-79.3392035741829, 43.6801216608452]], ""type"": ""MultiPoint""}"
82,618,LR-06719,3750,St Clair Ave E,Brimley Rd,West,St Clair Ave E,North,06353,20,None,WR1,Existing,L3506353,,"{""coordinates"": [[-79.2417024405006, 43.7211400644734]], ""type"": ""MultiPoint""}"
83,619,LR-06721,99,Pharmacy Ave,Pharmacy Ave,East,Teesdale Pl,South,06357,20,None,WR2,Existing,L3506357,,"{""coordinates"": [[-79.2851783822115, 43.6967938737794]], ""type"": ""MultiPoint""}"
84,620,LR-06739,201,Davenport Rd,Davenport Rd,South,Hazelton Ave,West,06534,11,None,WR1,Existing,L2706534,,"{""coordinates"": [[-79.3949410521312, 43.6749598431554]], ""type"": ""MultiPoint""}"
85,621,LR-06743,63,Gould St,Gould St,South,Church St,West,06539,13,None,WR2,Existing,L2706539,,"{""coordinates"": [[-79.37805996228, 43.6581069582948]], ""type"": ""MultiPoint""}"
86,623,LR-06747,26,Dundas St E,Victoria St,West,Dundas St E,North,06559,13,Downtown Yonge,WR4,Existing,L2706559,,"{""coordinates"": [[-79.3798095824985, 43.6566550033234]], ""type"": ""MultiPoint""}"
87,624,LR-06750,155,Main St,Main St,East,Gerrard St E,South,06566,19,None,WR2,Existing,L2806566,,"{""coordinates"": [[-79.2999984653052, 43.683668521823]], ""type"": ""MultiPoint""}"
88,626,LR-06762,615,Kingston Rd,Kingston Rd,South,Main St,West,06580,19,None,WR2,Existing,L3206580,,"{""coordinates"": [[-79.2983402109942, 43.6787418468946]], ""type"": ""MultiPoint""}"
89,628,LR-06777,1220,Woodbine Ave,Mortimer Ave,South,Woodbine Ave,West,06612,19,None,WR2,Temporarily Removed,L3106612,,"{""coordinates"": [[-79.3159698183442, 43.69249151024]], ""type"": ""MultiPoint""}"
90,629,LR-06778,704,Mortimer Ave,Mortimer Ave,North,Woodbine Ave,West,06613,19,None,WR1,Existing,L3106613,,"{""coordinates"": [[-79.3161648446143, 43.6925958429922]], ""type"": ""MultiPoint""}"
91,630,LR-06782,511,Dawes Rd,Dawes Rd,West,Ferris Rd,North,06617,19,None,WR2,Existing,L3106617,,"{""coordinates"": [[-79.2953998965445, 43.7059655669573]], ""type"": ""MultiPoint""}"
92,631,LR-06783,1525,O'Connor Dr,O'Connor Dr,South,Amsterdam Ave,West,06618,19,None,WR2,Existing,L3106618,,"{""coordinates"": [[-79.3060261344278, 43.7140554373313]], ""type"": ""MultiPoint""}"
93,632,LR-06784,1952,Danforth Ave,Danforth Ave,North,Woodmount Ave,West,06620,19,Danforth Mosaic,WR2,Existing,L3106620,,"{""coordinates"": [[-79.3155648822839, 43.6851738912297]], ""type"": ""MultiPoint""}"
94,634,LR-06795,131,River St,Dundas St E,North,River St,East,06659,13,None,WR1,Existing,L2806659,,"{""coordinates"": [[-79.3578344171669, 43.6613455196938]], ""type"": ""MultiPoint""}"
95,636,LR-06804,433,Eastern Ave,Eastern Ave,South,Mc Gee St,East,06687,14,None,WR2,Existing,L3006687,,"{""coordinates"": [[-79.3438748199766, 43.6572140426077]], ""type"": ""MultiPoint""}"
96,637,LR-06815,495,Pape Ave,Pape Ave,East,Bain Ave,North,06698,14,None,WR2,Temporarily Removed,L3006698,,"{""coordinates"": [[-79.342355560603, 43.6730690537027]], ""type"": ""MultiPoint""}"
97,638,LR-06820,98,Lamb Ave,Mountjoy Ave,North,Lamb Ave,West,06703,14,None,WR1,Existing,L3006703,,"{""coordinates"": [[-79.3289055670006, 43.6805437607929]], ""type"": ""MultiPoint""}"
98,640,LR-06825,425,Coxwell Ave,Coxwell Ave,East,Casci Ave,North,06774,19,None,WR2,Existing,L3206774,,"{""coordinates"": [[-79.3209668669442, 43.6772922728931]], ""type"": ""MultiPoint""}"
99,641,LR-06831,1968,Danforth Ave,Danforth Ave,North,Woodmount Ave,East,06780,19,Danforth Mosaic,WR2,Existing,L3106780,,"{""coordinates"": [[-79.3150303731691, 43.68528967546]], ""type"": ""MultiPoint""}"
100,657,LR-06462,3335,Bathurst St,Bathurst St,East,St Germain Ave,South,06292,08,None,WR2,Temporarily Removed,L1606292,,"{""coordinates"": [[-79.431119432896, 43.7256564400506]], ""type"": ""MultiPoint""}"
101,658,LR-11776,640,Lawrence Ave W,Varna Dr,West,Lawrence Ave W,North,07823,08,None,WR1,Existing,L1507823,,"{""coordinates"": [[-79.4378952901657, 43.717942067201]], ""type"": ""MultiPoint""}"
102,659,LR-09965,98,Orfus Rd,Orfus Rd,North,Caledonia Rd,East,06987,08,None,WR1,Existing,L1506987,,"{""coordinates"": [[-79.4647385082537, 43.718547942782]], ""type"": ""MultiPoint""}"
103,660,LR-06414,2793,Bathurst St,Glencairn Ave,North,Bathurst St,East,06131,08,None,WR2,Existing,L1606131,,"{""coordinates"": [[-79.4278690259835, 43.7124851527827]], ""type"": ""MultiPoint""}"
104,661,LR-12029,312,Oakwood Ave,Oakwood Ave,West,Earlsdale Ave,South,07860,09,None,WR2,Existing,L1707860,,"{""coordinates"": [[-79.4380951178861, 43.6853299709512]], ""type"": ""MultiPoint""}"
105,662,LR-12112,1,Oakwood Ave,Oakwood Ave,East,Davenport Rd,North,07943,09,None,WR1,Existing,L1707943,,"{""coordinates"": [[-79.4337284842619, 43.6745977041405]], ""type"": ""MultiPoint""}"
106,664,LR-15011,7,Hauteview Crt,York Mills Rd,South,Laurentide Dr,West,T9075,16,None,WR2,Existing,L3409075,,"{""coordinates"": [[-79.3381939295762, 43.7576212714258]], ""type"": ""MultiPoint""}"
107,665,LR-05931,78,Mimico Ave,Mimico Ave,North,Wheatfield Rd,East,06143,03,None,WR2,Existing,L0606143,,"{""coordinates"": [[-79.4928669807641, 43.6131372699438]], ""type"": ""MultiPoint""}"
108,666,LR-05916,219,Islington Ave,Islington Ave,East,Birmingham St,North,06107,03,None,WR1,Existing,L0606107,,"{""coordinates"": [[-79.5063470252649, 43.6037812324564]], ""type"": ""MultiPoint""}"
109,667,LR-05912,51,Twentieth St,Birmingham St,South,Twentieth St,East,06103,03,None,WR1,Existing,L0606103,,"{""coordinates"": [[-79.520014796968, 43.6001740047046]], ""type"": ""MultiPoint""}"
110,684,LR-06829,65,Thyra Ave,Thyra Ave,East,Dentonia Park Ave,North,06778,19,None,WR1,Existing,L3106778,,"{""coordinates"": [[-79.291427683814, 43.6936262107274]], ""type"": ""MultiPoint""}"
111,685,LR-11959,310,Timberbank Blvd,Finch Ave E,South,Birchmount Rd,West,07661,22,None,WR1,Existing,L4007661,,"{""coordinates"": [[-79.3063015449107, 43.7987743432287]], ""type"": ""MultiPoint""}"
112,686,LR-12070,1230X,Markham Rd,Markham Rd,West,Tuxedo Crt,North,T5586,24,None,WR2,Existing,L3805586,,"{""coordinates"": [[-79.2332384743497, 43.7797469438228]], ""type"": ""MultiPoint""}"
113,687,LR-12071,10,Tuxedo Crt,Markham Rd,East,Tuxedo Crt,South,T5585,24,None,WR2,Existing,L3805585,,"{""coordinates"": [[-79.2326906738154, 43.779339315898]], ""type"": ""MultiPoint""}"
114,688,LR-12072,1301X,Markham Rd,Progress Ave,South,Markham Rd,East,T5580,24,None,WR2,Existing,L3805580,,"{""coordinates"": [[-79.233416239042, 43.7818214667692]], ""type"": ""MultiPoint""}"
115,689,LR-12134,3260,Sheppard Ave E,Sheppard Ave E,North,Palmdale Dr,Opposite,07504,22,None,WR1,Temporarily Removed,L4007504,,"{""coordinates"": [[-79.3112544981059, 43.7781079366385]], ""type"": ""MultiPoint""}"
116,690,LR-10603,42,Linden Ave,Danforth Rd,South,Linden Ave,West,06442,20,None,WR2,Existing,L3506442,,"{""coordinates"": [[-79.2572510096856, 43.7204978524563]], ""type"": ""MultiPoint""}"
117,691,LR-10606,701,Danforth Rd,Danforth Rd,South,Hart Ave,Opposite,06445,20,None,WR2,Existing,L3506445,,"{""coordinates"": [[-79.2586373367101, 43.7187308278114]], ""type"": ""MultiPoint""}"
118,733,LR-06442,3845,Bathurst St,Bathurst St,East,Southgate Ave,South,06243,06,None,WR1,Existing,L1006243,,"{""coordinates"": [[-79.4346876028163, 43.7405514931155]], ""type"": ""MultiPoint""}"
119,734,LR-06486,836,Sheppard Ave W,Sheppard Ave W,North,Wilmington Ave,West,06382,06,None,WR2,Existing,L1006382,,"{""coordinates"": [[-79.4518450889922, 43.7528494228382]], ""type"": ""MultiPoint""}"
120,796,LR-10835,6109,Kingston Rd,Lawson Rd,South,Kingston Rd,West,06920,25,None,WR1,Existing,L4406920,,"{""coordinates"": [[-79.1684019851028, 43.7841888357054]], ""type"": ""MultiPoint""}"
121,797,LR-12003,6115,Kingston Rd,Highland Creek Overpass,East,Kingston Rd,South,06919,25,None,WR1,Existing,L4406919,,"{""coordinates"": [[-79.1682988352162, 43.7843379553612]], ""type"": ""MultiPoint""}"
122,798,LR-06872,6193,Kingston Rd,Kingston Rd,South,Franklin Ave,West,06886,25,None,WR1,Existing,L4406886,,"{""coordinates"": [[-79.1665177492506, 43.7858740828491]], ""type"": ""MultiPoint""}"
123,800,LR-10775,190,Milner Ave,Milner Ave,North,Mid-Dominion Acres,East,T1363,23,None,WR2,Existing,L4201363,,"{""coordinates"": [[-79.2419622599638, 43.7869942632448]], ""type"": ""MultiPoint""}"
124,801,LR-10776,424,Milner Ave,Milner Ave,North,Dailing Gt,West,T1365,23,None,WR1,Existing,L4201365,,"{""coordinates"": [[-79.2304318398567, 43.7910884421994]], ""type"": ""MultiPoint""}"
125,802,LR-10778,242,Milner Ave,Milner Ave,North,Scunthorpe Rd,East,T9330,23,None,WR1,Existing,L4209330,,"{""coordinates"": [[-79.2398148264183, 43.7890516548992]], ""type"": ""MultiPoint""}"
126,803,LR-06002,353,Kennedy Ave,Kennedy Ave,West,Kennedy Ave,Opposite,06261,04,None,WR2,Existing,L1306261,,"{""coordinates"": [[-79.4766754399588, 43.6551334783037]], ""type"": ""MultiPoint""}"
127,805,LR-06160,403,Keele St,Keele St,East,Dundas St W,North,06640,04,The Junction,WR4,Temporarily Removed,L1406640,,"{""coordinates"": [[-79.4647858362297, 43.666254179111]], ""type"": ""MultiPoint""}"
